10/jan.,maiara uber,"-R$ 30,00",2/fev.,PURO GELADTO,"-R$ 18,00",21/mar.,airbnb(paris),"-R$ 4.932,68",5/abr.,puro gelato,"-R$ 18,00",,,,,,,,,,09/ago.,wise,"-R$ 1.000,00",,,,19/out.,revelaçlão foto,"-R$ 12,00",28/nov.,uber maiara,"-R$ 17,00",22/dez.,presente poly usaflex,"-R$ 129,99"
24/jan.,ar condicionado,"-R$ 474,30",02/fev.,envio p/ dolar,"-R$ 2.000,00",02/mar.,faculdade matricula,"-R$ 99,00",12/abr.,wise poly,"-R$ 570,00",,,,,,,,,,09/ago.,torta,"-R$ 38,00",,,,25/out.,Nomad,"-R$ 1.600,00",30/nov.,travessa,"-R$ 79,90",01/dez.,dolar nomad,"-R$ 800,00"
13/jan.,compra,"-R$ 4,50",2/fev.,evio para wise euro,"-R$ 580,00",21/mar.,poly help,"-R$ 1.731,32",12/abr.,nomad dolares,"-R$ 600,00",,,,,,,,,,14/ago.,netão bom beef,"-R$ 147,71",,,,24/out.,clear(renda variável),"-R$ 500,00",30/nov.,estacionamento,"-R$ 10,00",14/dez.,dolar nomad,"-R$ 3.000,00"
13/jan.,horta marizia,"-R$ 23,00",08/fev.,gelato,"-R$ 37,00",29/mar.,uber maiara,"-R$ 22,00",13/abr.,diploma unip eng civil,"-R$ 100,00",,,,,,,,,,14/ago.,clear(renda variável),"-R$ 200,00",,,,31/out.,maiara pgto faculdade,"-R$ 2.476,00",,,,19/dez.,dolar nomad,"-R$ 2.000,00"
31/jan.,euro wise,"-R$ 956,88",10/fev.,costura sofá,"-R$ 50,00",30/mar.,chopp amarillo,"-R$ 14,50",13/abr.,nomad investimentos,"-R$ 1.000,00",,,,,,,,,,18/ago.,paulo (instalador),"-R$ 80,00",,,,31/out.,dolares nomad,"-R$ 2.500,00",,,,22/dez.,pgto airb sevilha,"-R$ 2.460,00"
16/jan.,saque,"-R$ 200,00",13/fev.,dentista nivia,"-R$ 550,00",31/mar.,selic,"-R$ 390,07",18/abr.,crea anualidade,"-R$ 47,10",,,,,,,,,,21/ago.,present poly,"-R$ 249,90",,,,,,,,,,22/dez.,ajuda poly cartão,"-R$ 2.400,00"
17/jan.,maiara uber,"-R$ 3,00",14/fev.,horta,"-R$ 17,00",,,,26/abr.,ajuda poly,"-R$ 2.500,00",,,,,,,,,,21/ago.,paulo (instalador),"-R$ 80,00",,,,,,,,,,23/dez.,caixa portaria,"-R$ 130,00"
24/jan.,horta marizia,"-R$ 22,00",16/fev.,crocodilo gjvrgb,"-R$ 97,97",,,,,,,,,,,,,,,,24/ago.,reformas madeiras,"-R$ 500,00",,,,,,,,,,27/dez.,nu/clear,"-R$ 150,00"
25/jan.,compra de dolar,"-R$ 1.500,00",16/fev.,termomax fev,"-R$ 133,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,27/dez.,nomad dollar,"-R$ 1.500,00"
25/jan.,wise compra euros,"-R$ 169,78",16/fev.,crea sp,"-R$ 169,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,26/dez.,wise,"-R$ 1.500,00"
25/jan.,compra,"-R$ 6,00",20/fev.,enjoy pool,"-R$ 80,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,24/dez.,nomad dollar,"-R$ 1.000,00"
30/jan.,poly euros,"-R$ 200,00",22/fev.,manut raquetes(cordas),"-R$ 180,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,24/dez.,wise,"-R$ 1.500,00"
30/jan.,maiara adiatamento,"-R$ 50,00",22/fev.,euros p/ viagem,"-R$ 561,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/jan.,maiara uber,"-R$ 50,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
